model,condition,CR,CR (success→success),CR (success→failure),CR (failure→success),CR (failure→failure)
Team-ACE_ToolACE-2-8B,writeHeavy-confident,36.0% (n=197),14.1% (n=64),92.9% (n=28),20.0% (n=5),35.0% (n=100)
Team-ACE_ToolACE-2-8B,writeHeavy-hedged,31.5% (n=197),11.6% (n=69),91.7% (n=24),0.0% (n=3),31.7% (n=101)
watt-ai_watt-tool-70B,init-confident,52.3% (n=197),45.6% (n=114),87.5% (n=24),71.4% (n=7),48.1% (n=52)
watt-ai_watt-tool-70B,init-hedged,38.6% (n=197),35.3% (n=119),78.3% (n=23),75.0% (n=4),25.5% (n=51)
watt-ai_watt-tool-70B,readHeavy-confident,54.8% (n=197),50.4% (n=121),90.5% (n=21),100.0% (n=4),47.1% (n=51)
watt-ai_watt-tool-70B,readHeavy-hedged,45.2% (n=197),39.8% (n=118),80.0% (n=20),66.7% (n=6),41.5% (n=53)
watt-ai_watt-tool-70B,writeHeavy-confident,35.5% (n=197),10.7% (n=103),79.5% (n=39),N/A (n=0),50.9% (n=55)
watt-ai_watt-tool-70B,writeHeavy-hedged,28.9% (n=197),6.7% (n=104),78.9% (n=38),0.0% (n=1),37.0% (n=54)
watt-ai_watt-tool-8B,init-confident,40.6% (n=197),29.3% (n=75),80.0% (n=15),80.0% (n=10),39.2% (n=97)
watt-ai_watt-tool-8B,init-hedged,31.0% (n=197),23.7% (n=76),78.6% (n=14),50.0% (n=8),28.3% (n=99)
watt-ai_watt-tool-8B,readHeavy-confident,42.1% (n=197),37.7% (n=77),76.9% (n=13),85.7% (n=7),38.0% (n=100)
watt-ai_watt-tool-8B,readHeavy-hedged,28.9% (n=197),22.4% (n=76),78.6% (n=14),57.1% (n=7),25.0% (n=100)
watt-ai_watt-tool-8B,writeHeavy-confident,30.5% (n=197),10.6% (n=66),65.2% (n=23),0.0% (n=2),35.8% (n=106)
watt-ai_watt-tool-8B,writeHeavy-hedged,25.9% (n=197),4.2% (n=72),66.7% (n=18),0.0% (n=4),35.0% (n=103)
